id_retroaction|id_objectif
1|1
1|5
2|3
2|1
3|7
3|4
3|2
4|7
4|4
4|2
5|7
5|5
5|4
5|2
6|3
6|4
6|6
6|1
7|3
7|4
7|6
7|1
8|7
8|3
8|4
8|6
8|2
9|8
9|9
9|10
9|11
9|12
10|10
10|11
10|13
10|12
11|9
11|14
11|12
12|10
12|11
12|14
12|9
12|8
13|10
13|11
13|14
13|9
13|8
14|14
14|12
15|8
15|9
15|14
15|12
16|14
16|13
16|12
17|15
17|16
18|17
18|18
18|19
19|17
19|15
20|17
20|16
21|17
21|15
21|16
22|18
22|19
23|15
24|15
24|16
25|20
25|21
25|22
26|23
26|24
27|23
27|24
28|20
28|21
28|22
29|25
29|26
30|27
30|25
30|26
31|27
31|25
31|26
32|27
32|25
32|28
32|87
33|29
33|31
33|55
33|30
34|29
34|55
34|42
34|30
35|29
35|56
35|31
35|43
35|30
36|29
36|58
36|31
36|44
36|30
37|29
37|58
37|31
37|44
37|30
38|29
38|57
38|31
38|45
38|30
39|29
39|57
39|33
39|46
39|30
40|29
40|59
40|34
40|47
40|30
41|29
41|60
41|35
41|48
41|30
42|29
42|61
42|36
42|49
42|30
43|29
43|62
43|37
43|50
43|30
44|29
44|63
44|38
44|51
44|30
45|29
45|64
45|39
45|52
45|30
46|29
46|65
46|40
46|53
46|30
47|29
47|66
47|41
47|54
47|30
48|29
48|66
48|41
48|54
48|30
49|67
49|68
49|69
49|70
50|71
50|72
50|73
50|70
51|71
51|68
51|69
51|70
52|71
52|72
52|69
52|70
53|67
53|72
53|73
53|70
54|67
54|68
54|73
54|70
55|71
55|68
55|73
55|70
56|67
56|72
56|69
56|70
57|74
57|75
57|76
57|77
58|74
58|78
59|74
59|78
59|76
59|79
60|74
60|75
60|76
61|80
61|81
61|75
61|76
62|80
62|81
62|79
62|76
63|80
63|81
63|76
63|79
64|80
64|81
64|76
65|82
65|83
66|84
66|85
66|83
67|86
67|84
67|85
67|83
68|88
68|90
69|89
70|91
70|92
71|91
71|92
72|93
72|94
72|95
73|96
73|90
74|97
75|91
75|92
76|91
76|92
77|94
77|98
77|99
74|100
78|101
79|102
80|103
81|104
82|105
83|106
84|107
85|108
85|103
86|109
87|105
87|103
88|110
88|111
88|112
89|149
89|114
89|115
90|112
90|113
91|116
91|117
91|118
92|122
92|121
93|119
93|120
93|121
94|123
94|124
94|125
95|128
95|129
96|126
96|127
97|130
97|131
98|132
99|133
99|134
100|135
100|136
101|132
102|137
102|130
103|132
104|133
105|138
106|139
107|140
107|141
108|140
108|141
109|142
109|143
110|144
110|145
111|144
111|145
112|142
112|143
113|146
114|146
115|142
115|143
116|147
116|148
117|147
117|148
118|142
118|143
